source,translated,question,answer
"Olumbe lwa Korona","Pahurui Virus Corona",,
"","",,
"","",,
"","Baya ice hal je perlu ikam haratie en arak pahurui virus Corona ",,
"","MANJAKIT",,
"","Nyama ",,
"","Urung ",,
"","Mate ",,
"","Tame akan suang ",,
"","Ulun barihas ",,
"","Ulun diya barihas ",,
"","Virus akan manjakit amun samburan iweh tuh ",,
"","Manjaga kakecau. Ikam akan aman bara samburan danum iweh amun manjaga kakecau 2m. ",,
"","1",,
"","2m-0,5m",,
"","Haaachii!! ",,
"","Jari, metuh ikam manggite ulun bajemuh/banyin/diya barihas, ikam tau : ",,
"","NENGA AKAN LUSE MASKER. Jari luse tau banyin/bajemuh njung suang masker je, hapa ngalindung ulun are je tehe kaliling iye. ",,
"","2",,
"","Tarima kasih *SROOT* ",,
"","ATAWAI ",,
"","Mukin ulun jiye keme arep barihas. Iye baya ngalindung arep’e. ",,
"","Ulun je jari tajakit mukin diya ati arak tanda, tapi tatap tau manjakit peres’e. ",,
"","Njung akan ita uras, keleh mahila bara ukan ulun rami, gawi ikam diya tawan ewei-ewei je metuh diya barihas. ",,
"","Pakakas hapa kuman ",,
"","Tatut njung kareta ",,
"","Tumbul lift ",,
"","Tisu ",,
"","Galas ",,
"","Pakakas digital ",,
"","Malah njung hila luar masker ",,
"","Tatut tangga ",,
"","Tetikus ",,
"","Pen ",,
"","Tatut baun tunggang ",,
"","Lengen luse ",,
"","Manyau kilau jiye, tau kiya danum iweh ulun je dia barihas tau maleket njung… ",,
"","ikam uras tau hawan kiya. ",,
"","atawai baun kare ulun je dani ikau, ",,
"","manguhus mate ",,
"","Amun ikam diya sangaja tatekap barang banda jiye, limbah jiye tatekap baummu kabuat, ",,
"","Ice duha cara je paling pas hapa manganan virus jiye, iye je ngenyau hapa sabun, pamuti, atawai alkohol. ",,
"","Virus jituh tau batahan sapai 24 jam njung ice banda. ",,
"","Sabun",,
"","cara mahila kilau tuh.",,
"","Gawi jiye, kalamus numun ih ",,
"","Ngenyau hapa sabun sapai situh.",,
"","Sikun lenge ",,
"","Ilah nekap baumu (atawai bawun ewei bewei). Amun memang diya tau diya, ngenyau barasih lengem umba sabun. ",,
"","Kilau manyanyi lagu “Happy Birthday” due kali. ",,
"","Nga penda silu ",,
"","Katahin 20 detik ",,
"","nga helang-helang tinjuk ",,
"","Ngenyau tekuk lukap ",,
"","En arak cara mengenyau lenge sapai barasih? ",,
"","Amun tatekap, ilah gaer. Balias ih ngenyau lenge hapa sabun. ",,
"","Ilah nekap hila luar masker. ",,
"","Samburan danum iweh ",,
"","Bakteri tau manganak manjaria njung hila suang masker amun hapa halau tahi. ",,
"","Nganan maskermu amun jari balike. Ilah mahapa masker je labih bara jandau. ",,
"","Hapa ih takip sayur ",,
"","Nyanak ",,
"","Yapang ",,
"","Indang ",,
"","Hapa ih anduk hai-hai ",,
"","Ilah talinjam panginan, pakakas hapa kuman, galas tutang anduk. ",,
"","Ikau diya tau manekap baumu hapa sikum kabuat, lauh ih. ",,
"","Sabuli-bulih, nguap atawa ngatep baun tunggang hapa siku atawai bahu. ",,
"","PASAH",,
"","Limbah miar balua bara pasah ",,
"","Helu bara kuman ",,
"","Halajur ngenyau lengemu hapa sabun…. ",,
"","Kahapus, ",,
"","Haga ih karihas! ",,
"","Mbasa auh-auh beken njung surat-surat je ngambu! ",,
"",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
"",""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
"","Bahan hapa bapikir  hapa mangabar auh medis: ",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
