,rus,mnw,eng
0,Избегайте COVID-19,ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ,Avoid COVID-19 Poster
1,,,
5,"Иллюстрации: Ари и Элейн Витикайнен. Информация была взята с веб-сайтов ВОЗ, таких как  https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa",,
7,Дарья Давидовская﻿SIL LEAD,,
8,"Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/",,
11,"Как создавать постеры, используя этот шаблон",,
12,"Этот шаблон для создания постеров. Вы добавляете страницы, которые содержат только изображения. Затем вы добавляете текст на страницу, нажимая правой кнопкой мыши на изображение и выбирая ""добавить текстовое поле к изображению"":",,"This template is for creating posters. You add pages that contain only a picture. Then you add text boxes to the page by right-clicking on the image and choosing ""Add Text Box to Image"":"
15,"Наберите текст. Если поле не достаточно большое, измените границы поля с помощью мыши. Вы также можете изменять текстовое поле с помощью мыши.",,"Type words into the box. If the box is not big enough, use the mouse to change the size of the box. You can also move the box around the page with the mouse."
19,Регулярно мойте руки с мылом и водой или жидкостью на алкогольной основе.,,
22,"Не трогайте лицо, нос или рот.",,
26,Держите дистанцию в два метра с другими людьми.,,
28,Избегайте COVID-19,,
31,"Оставайтесь в курсе последних событий, касающихся COVID-19.﻿Следуйте советам вашего врача.",,
35,"Прикрывайте ваш рот и нос локтем или платком, когда вы кашляете или чихаете. Утилизируйте использованный платок немедленно.",,
39,"Оставайтесь дома, если чувствуете себя нехорошо. Если у вас температура, кашель или затрудненное дыхание, то обратитесь за помощью как можно раньше.",,
42,"Избегайте COVID-19    Избегайте COVID-19 Иллюстрации: Ари и Элейн Витикайнен. Информация была взята с веб-сайтов ВОЗ, таких как  https://www.who.int/emer gencies/diseases/novel-coronavir us-2019/advice-for-public Version 27.3.2020 Literacy for Women in Africa  Дарья Давидовская﻿SIL LEAD Adapted by Paul Frank from original, Copyright © 2020, Illustrations by Elaine Vitikainen https://ev-visuals.com/   Как создавать постеры, используя этот шаблон Этот шаблон для создания постеров. Вы добавляете страницы, которые содержат только изображения. Затем вы добавляете текст на страницу, нажимая правой кнопкой мыши на изображение и выбирая ""добавить текстовое поле к изображению"":   Наберите текст. Если поле не достаточно большое, измените границы поля с помощью мыши. Вы также можете изменять текстовое поле с помощью мыши.    Регулярно мойте руки с мылом и водой или жидкостью на алкогольной основе.   Не трогайте лицо, нос или рот.    Держите дистанцию в два метра с другими людьми.  Избегайте COVID-19   Оставайтесь в курсе последних событий, касающихся COVID-19.﻿Следуйте советам вашего врача.    Прикрывайте ваш рот и нос локтем или платком, когда вы кашляете или чихаете. Утилизируйте использованный платок немедленно.    Оставайтесь дома, если чувствуете себя нехорошо. Если у вас температура, кашель или затрудненное дыхание, то обратитесь за помощью как можно раньше.  ",ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ    ပဝ်သတာ ဝေၚ်ပါဲယဲကဝ်ရဝ်နာ                                     ,"Avoid COVID-19 Poster    Avoid COVID-19 Poster        This template is for creating posters. You add pages that contain only a picture. Then you add text boxes to the page by right-clicking on the image and choosing ""Add Text Box to Image"":   Type words into the box. If the box is not big enough, use the mouse to change the size of the box. You can also move the box around the page with the mouse.                          "
