source,translated,question,answer
"Sobre el Coronavirus","UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA",,
"","",,
"","Bahasa Tombulu",,
"","ESA uman un totoz kata’uan nioua tumoro kura u virus Corona",,
"","i mahlaputa",,
"","Sumah",,
"","Ngirung",,
"","Weren",,
"","muntepa wana am",,
"","Tou zéi’kan saki",,
"","Tou saki",,
"","U virus ém pahkalaputa karia u rura’ pahkapesika kenu",,
"","Zumou’la. Ni kamu én zéi’kan pahkaayoané u rura’ mahpesiké sa zumou’la 2m.",,
"","1",,
"","½m - 2m",,
"","Haaachii!!",,
"","Niitumo, sa ni kamu mileka si tou mahenga/mahtihoi/saki, ni kamu é léwo’zéi’:",,
"","WÉHANA MASKER SÉRA. Ni séra én toro tumihoi/mengah witu u maskerna wo zéi’kan ikaayoma wia sé tou witu réténa.",,
"","2",,
"","Tambér wangko’ *SROOT*",,
"","KAAPA",,
"","Si tou itii woo zéi’kan saki. Ni sia éng kimelung uman un touna.",,
"","Si tou kinalaputano én zéi’kan kata’uanta, taan toro uman lumaputa u sakina.",,
"","Um wangun é zumou’mé im wia sé tou lakez, pahpaan zéi’kan kata’uannu séi si léwo’ pendanen.",,
"","Am pemamakén i mahkan",,
"","Sé tou lé’o-lé’os uman",,
"","Titionan wana ang keréta",,
"","An ipahkepel wana a lif",,
"","Tisyu",,
"","Eelepan",,
"","Leptop, HP wo am walina",,
"","U LUARNA u masker",,
"","Titionan an ahzan",,
"","Mous ang computer",,
"","Potlot",,
"","Titionan am pepenet",,
"","Lengen néra",,
"","Zozo’ in téntu, satorona u rura’ ni tou saki én toro lumaput wana a…",,
"","ni kamu péléng én toro uman masaki.",,
"","kaapa ang gio né tou karaatému,",,
"","mahpurisi um weren",,
"","Sa kamu méikationa wana ang kinuamoma itii, an tumiona ung giomu in esa,",,
"","Un totoz wangun i zuméi’ a virus é mo’as niitu karia  u sabong, um pahkulo’ ang karai, kaapa alkohol.",,
"","U virus én toro uman tumahang makaz 24 jam witu un apa uman.",,
"","Sabong",,
"","an toro wangunen i zuméi’ tanu ang kenu.",,
"","Niitumo, um wangun éng kiitala u",,
"","wo’asan karia u sabong makaz wia’i.",,
"","Siku u lengen",,
"","TIA' PAHTIONAN UNG GIOMU (kaapa ang gio ni séi uman)",,
"","Tanu makazua kumantara ung kakantaren “Happy Birthday”.",,
"","sulu",,
"","kauréna 20 detik",,
