,pkb,eng
0,Mambo yeyonahusiana na virusi vya korona,About Coronavirus
1,,
2,Translated by Shedrack Thomas Falama,
3,,
4,Kuna dzambo MODZA t̯u  wiḍyonafaa kuimuka dzuu ya namuna ya virusi vya korona,
5,VIVYONAENEA,
6,kanwani,
7,mpuyani,
8,matsoni,
9,yepfonanjia,
10,Mwa muntu eye na matsea,
11,mujwazi,
12,Hivi virusi vinaenea saa ya mahwente ya,
13,Kaa kuye. Mita 2 zinakuweka kuye na mahwente makuu makuu.,
14,1,
15,Mita 2,
16,Achoo!,
17,"D̯ubva ukiona muntu eyekukoowani, ambu eyekubigani myansa ambu mujwazi, unaweza kutsana",
18,Wapfe kit̯uḍyio cha hewa cha kuvwaa. Wanaweza kukoowa ambu kubiga myansa wakiwa wakivwaa na kuwachinga wonse weo hafufi.,
19,2,
20,Asant̯a *shurupa*,
21,AMBU,
22,"Pfangine huyu si mujwazi, kakudzichingani t̯u.",
23,"Wantu wepfokezejweo hivi virusi wanaweza kutsayanga ishara iḍeyonse, ela wanaweza kupfokeza wangine.",
24,"Kwa ḍyumula, ni dzambo dzema kudzyapfusa na t̯ut̯a, kwa kwamba nkawezi kumanya kwamba mujwazi ni yu.",
25,Vidzihi vya kuḍia,
26,Muntu eye na matsea,
27,Mikanda ya kudzigijia ya gari ya mosi,
28,Viḅonyezo vya lifuti,
29,Karat̯asi mpesi za kudzifutia,
30,Vikombe,
31,Vifaa vya elektroniki,
32,na hat̯a sehemu ya nze ya hiki kit̯uḍyio cha hewa,
33,Vigijio vya ngazi,
34,Mausi ya kompyuta,
35,Kalamu,
36,Mpiki za miḍyango,
37,Mikono yao,
38,Ela myeedha ingine mahe ya muntu mujwazi yanaweza kupata vija vingine dza….,
39,ḅasi unaweza kuwa mujwazi.,
40,"ambu kuhora hu uso wa mutsakwa jwako,",
41,"kudzifyokotsa haya  matso,",
