source,translated,question,answer
"Mambo yeyonahusiana na virusi vya korona","About Coronavirus",,
"","",,
"Translated by Shedrack Thomas Falama","",,
"","",,
"Kuna dzambo MODZA t̯u  wiḍyonafaa kuimuka dzuu ya namuna ya virusi vya korona","",,
"VIVYONAENEA","",,
"kanwani","",,
"mpuyani","",,
"matsoni","",,
"yepfonanjia","",,
"Mwa muntu eye na matsea","",,
"mujwazi","",,
"Hivi virusi vinaenea saa ya mahwente ya","",,
"Kaa kuye. Mita 2 zinakuweka kuye na mahwente makuu makuu.","",,
"1","",,
"Mita 2","",,
"Achoo!","",,
"D̯ubva ukiona muntu eyekukoowani, ambu eyekubigani myansa ambu mujwazi, unaweza kutsana","",,
"Wapfe kit̯uḍyio cha hewa cha kuvwaa. Wanaweza kukoowa ambu kubiga myansa wakiwa wakivwaa na kuwachinga wonse weo hafufi.","",,
"2","",,
"Asant̯a *shurupa*","",,
"AMBU","",,
"Pfangine huyu si mujwazi, kakudzichingani t̯u.","",,
"Wantu wepfokezejweo hivi virusi wanaweza kutsayanga ishara iḍeyonse, ela wanaweza kupfokeza wangine.","",,
"Kwa ḍyumula, ni dzambo dzema kudzyapfusa na t̯ut̯a, kwa kwamba nkawezi kumanya kwamba mujwazi ni yu.","",,
"Vidzihi vya kuḍia","",,
"Muntu eye na matsea","",,
"Mikanda ya kudzigijia ya gari ya mosi","",,
"Viḅonyezo vya lifuti","",,
"Karat̯asi mpesi za kudzifutia","",,
"Vikombe","",,
"Vifaa vya elektroniki","",,
"na hat̯a sehemu ya nze ya hiki kit̯uḍyio cha hewa","",,
"Vigijio vya ngazi","",,
"Mausi ya kompyuta","",,
"Kalamu","",,
"Mpiki za miḍyango","",,
"Mikono yao","",,
"Ela myeedha ingine mahe ya muntu mujwazi yanaweza kupata vija vingine dza….","",,
"ḅasi unaweza kuwa mujwazi.","",,
"ambu kuhora hu uso wa mutsakwa jwako,","",,
"kudzifyokotsa haya  matso,","",,
"Na ikiwa kwamba kuhora kiḍechonse kahi ya hivi kwa ḅahat̯i nzuka, kisa kudzihora hu uso,","",,
"na njia karit̯u ya kuviyaga ni kukosa hivi vija na saḅuni, jiki ambu sipiriti","",,
"Virusi vinaweza kukaa mojo kwa masaa ya kut̯ala dzuu ya vija dza meza","",,
"Sabuni","",,
"hizi miko hizi","",,
"Na ndiyo maana ni urembo kuuḅa","",,
"Nawa na saḅuni mumpaka hapfa","",,
"Kikorokoro","",,
"Nkudzohore hu usowo (ambu uso wa yuḍe jwonse). Ikiwa ni had̯i, ḅasi d̯ura nawa na saḅuni urembo.","",,
"Hu muḍa unat̯osa kwimba wiya wa “Muḍondo, muḍondo, mwana kakwiiyani” myeedha miwii","",,
"humu nyaani","",,
"kwa nukta miyongo miwii","",,
"kahikahi ya haya maḍowe","",,
"kosa mongo wa hiḍi ganza","",,
"Kudzikosa urembo maanae ni?","",,
"Ikiwa kwamba kuhora mahwente, nkudzomuud̯ame. Nawa na saḅuni ḅaad̯ae.","",,
"Pia, nkudzohore hi ḍanda ya nze ya hiki kit̯uḍyio","",,
"mahwente","",,
"Ukivwaa chicho kit̯uḍyio cha kufinikiza mpuya na kanwa kwa nsiku nyinji, kinameya bakiteria na humu kuzimu.","",,
"Hivi vit̯uḍyio vya hewa vikiwa vichafu vifat̯ule. Nkudzovivwae kwa zaid̯i ya nsiku modza!","",,
"Tumia kipfazi","",,
"Mwana kaleleheya","",,
"Baba","",,
"Mama","",,
"Kula mumodza nawe na tauli yakwe","",,
"Nkudzomegeane chakuḍya na wantu wangine, nkudzotumie na muntu yungine vija dza vikombe ambu tauli .","",,
"Hat̯a ukiḍemadze, nkuwezi kuhora hu usowo na hiki kikorokoro chako.","",,
"Ikiwezekana, funguya miḍyango ukitumia kikorokoro ambu kit̯uro kuliko kutumia hi mikono.","",,
"Nyumbani","",,
"na ukiuja kuyawa nze kwiiko wantu","",,
"Usidzaḍya","",,
