,spa,ahk,eng
0,Sobre el Coronavirus,Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ,About Coronavirus
1,,,
3,,,
4,,Koˬ roˬ naˬ vaiˇ rasˆ gaˇ kawˆ-ahˇ taꞈ leˇ-awˇ ghoˆ shaw htaˬ phaˬ-ehˇ gheh-eu meh.,
5,,Nyawˬ-iˇ-eu,
6,,Qhaˬ meh,
7,,Naˇ mehˇ,
8,,Myaˆ nuiˆ,
9,,Ghawˇ mawˇ laꞈ qhoeˇ heu gaˇ neh uˇ-iˇ-eu meh.,
10,,Jawˇ saˇ doˆ -eu tsawˇ haˬ,
11,,Naˇ-eu tsawˇ haˬ,
12,,Aˇ dzuiꞈ heu deuˬ qhaˇ iˇ keuˆ gaˇ naˇ gawˇ nyawˬ-iˇ-eu meh.,
13,,"Tsawˇ haˬ nyiˬ ghaˬ yaw khaˬ htiˬ lmˇ dzehˬ ni khaˬ gaˇ jawˇ-eu-aˬ, aˇ dzuiꞈ deuˬ maˬ bi teuˆ shehˬ laˇ ni yahˇ nya meh.",
14,,1,
15,,Htiˬ lmˇ dzehˬ ni,
16,,Haˇ cheuˬ....,
17,,"Qhoeˇ miˇ neh uˬ tsoeˬ tsoeˬ-eu, haˇ cheuˬ cheuˬ-eu, naˇ-eu tsawˇ haˬ deuˬ mawˇ naˇ",
18,,"Aˬ yawꞈ maꞈ-ahˇ mehˬ tsahˬ biꞈ nehˬ-awˬ. Qhoeˇ laꞈ qhoeˇ aˬ yawꞈ maꞈ uˬ tsoeˬ tsoeˬ, haˇ cheuˬ cheuˬ-eu laꞈ qhoeˇ dawˬ pheh jawˇ-eu tsawˇ haˬ deuˬ-ahˇ maˬ bi nyawˬ-iˇ ni yahˇ nya meh.",
19,,2,
20,,Guiˬ lahˬ huiˬ miˇ-a. ,
21,,Maˬ ngeuˇ naˇ,
22,,Aˬ yawꞈ maˬ naˇ luꞈ qawꞈ naˇ gawˇ aˬ yawꞈ-ahˇ maˬ bi nyawˬ laˇ phaˬ-ehˇ yahˇ-eu phaˬ lawˇ.,
23,,Naˇ gawˇ aˇ mawˇ uˇ luꞈ qawꞈ naˇ gawˇ aˇ ghehˇ maˬ ya mawˇ ni pyeuꞈ nya meh. Ehˇ qawꞈ naˇ gawˇ qhoeˇ aˬ chawˬ-ahˇ phaˇ nyawˬ-iˇ nya meh.,
24,,"Yehˬ chehˬ chehˬ-awˇ ya ehˇ leꞈ naˇ, tsawˇ haˬ aˇ maꞈ jawˇ gaˇ maˬ iˇ ni yahˇ-awˬ. Aˬ jeˬ miˇ neh ehˇ naˇ aˬ geu ghaˬ naˇ luꞈ-eu aˬ dui maˬ siˬ nya-a.",
25,,  Yu daˇ,
26,,Jawˇ saˇ doˆ-eu tsawˇ haˬ,
27,,Miˬ dzaˬ laˆ lawˬ-ahˇ tcoꞈ-eu aˇ caˆ,
28,,Daˇ dzm daˆ leˆ-eu naˬ baꞈ htoeˬ duˬ,
29,,Siˆ-eu seuˬ ghaˬ (tiˇ shuˇ),
30,,Iˇ cuꞈ qhmˬ maˬ,
31,,Caˆ kheu kha deuˬ,
32,,Mehˬ tsahˬ laꞈ nyiˇ phaw,
33,,Daˇ dzm aˬ laꞈ nyehꞈ htehˬ duˬ,
34,,Maoˆ(s),
35,,Sahˬ duˇ,
36,,Laˇ ghoˆ phah duˬ,
37,,Aˬ laꞈ,
38,,Ehˇ qawꞈ naˇ-eu tsawˇ haˬ htiˬ ghaˬ-euˬ duˬ qhaˬ mˇ myawˬ nui deuˬ-ahˇ lehꞈ-iˇ nya-eu meh.,
39,,Naw maꞈ yawˬ ghaˬ na luꞈ naˇ gawˇ nyawˬ leˇ nya meh.,
40,,(maˬ) nawˇ gaˬ-eu ghaˬ-euˬ myaˆ phyawˬ-ahˇ htoeˬ naˇ,
41,,Myaˆ nuiˇ-ahˇ jeˬ-eu,
42,,Mˇ myawˬ qhoeˇ deuˬ-ahˇ maˬ yehꞈ maˇ yehꞈ-ehˇ htoeˬ tuˆ-awˇ nawˬ-euˬ myaˆ phyawˬ-ahˇ phaˇ htoeˬ naˇ,
43,,Qhoeˇ miˇ neh naˇ gawˇ aˇ mawˇ qhoeˇ deuˬ-ahˇ laˆ sehꞈ nya ni ghaˇ duˬ saˇ byaˬ neh yaw muiˬ-ehˇ tsiˬ shawˇ-awˬ. (maˬ) Aˬ yehˆ pyaˬ ahˇ-eu tsiˬ shawˇ-eu jeˬ neh tsiˬ shawˇ-awˬ.,
44,,"Naˇ gawˇ aˇ mawˇ heu, mˇ myawˬ deuˬ laꞈ qhoeˇ aˇ yamˬ ghawˬ myahˇ ni dehꞈ nya meh.",
45,,Saˇ byaˬ,
47,,Naˇ gawˇ maˬ bi pyeuꞈ laˇ ni loꞈ qhmˬ-eu,
