,rus,spa,eng
0,О Коронавирусе,Sobre el Coronavirus,About Coronavirus
1,,,
4,"Существует только ОДНА вещь, которую вам нужно знать о том, как коронавирус",,
5,Распространяется,,
6,Рот,,
7,Нос,,
8,Глаза,,
9,И попадает к вам в,,
10,Здоровый человек,,
11,Заболевший человек,,
12,Вирус распространяется через капельки,,
13,Соблюдать дистанцию. ﻿Два метра помогут вам оставаться в безопасности.,,
14,1,,
15,2 метра,,
16,Апчхи!,,
17,"Если вы видите кого-то кашляющего, чихающего или заболевшего, то вы можете решить:",,
18,Дайте им маску. В ней они могут кашлять и чихать. Это защитит всех вокруг.,,
19,2,,
20,Спасибо *всхлипывая*,,
21,Или,,
22,"Может быть она не болеет, а просто защищает себя.",,
23,"Заболевшие могут не проявлять симптомов, но все равно могут быть заразными.",,
24,"В целом, хорошая идея - избегать скопления людей и толпы, потому что вы не знаете, кто именно болеет.",,
25,Палочки,,
27,Поручни и ремни в общественном транспорте,,
28,Кнопки в лифте,,
29,Платки,,
30,Кружки,,
31,Электронные девайсы,,
32,Даже на обратную сторону вашей маски,,
33,Лестничные перила,,
34,Мышки,,
35,Ручки,,
36,Дверные ручки,,
37,Руки,,
38,"Однако, слюна больного человека попадает на другие предметы",,
39,Вы можете заболеть.,,
40,Или до лица любимого человека,,
41,Потрете глаза,,
42,"И если вы случайно дотронетесь до этих предметов, а затем до своего лица,",,
43,"и единственный способ избавиться от них - это смывать их мылом, отбеливателем или алкоголем.",,
44,"Вирусы могут выживать на предметах на протяжении долгих часов,",,
45,мыло,,
46,мерам предосторожности,,
47,Поэтому всегда нужно следовать,,
48,Мойте с мылом до этого места,,
49,Мыло,,
50,Локоть,,
51,"Не трогайте лицо. (Или лицо другого человека.) Если вам нужно дотронуться до лица, то первым делом помойте руки с мылом.",,
52,"Так долго, чтобы хватило времени спеть ""С Днем Рождения"" дважды.",,
53,Под ногтями,,
54,20 секунд,,
55,Между пальцами,,
56,Мойте руки и с обратной стороны,,
57,Что означает тщательно?,,
58,"Если вы дотронулись, не волнуйтесь. Просто помойте руки с мылом.",,
59,"Старайтесь не трогать внешнюю сторону вашей маски, если это возможно",,
60,Капельки,,
61,"Бактерии прорастают и на ваших масках, если вы носите их слишком долго",,
62,"Выбросьте маски как только почувствуете, что они уже использованы. Не носите их дольше одного дня.",,
63,Используйте сервировочную ложку,,
64,Малыщ,,
65,Папа,,
66,Мама,,
67,Каждый получает свое полотенце,,
68,"Не делитесь едой, посудой, кружками или полотенцами.",,
69,"Вы можете дотронуться до лица локтем, если вы устали.",,
