source,translated,question,answer
"Olumbe lwa Korona","Benyaki Corona",,
"","",,
"","",,
""," Èhi lai we do j’èmma ta toi ri muu minami ne lakka ri benyaki  corona d’e ",,
"","Ub’a ",,
"","Hewangnga",,
"","Ela ",,
"","Maho la d’ara ",,
"","Dou do ie ",,
"","dou do pèdd’a ",,
"","Ne benyaki nad’e jad’i ta lakka ri ilu",,
"","Pej’èu èni. Lakka d’o ke muu ri ilu ki do pej’èu èni ou d’ue mete ne j’èu ne.",,
"","1",,
"","2m-0,5m",,
"","Haachi!!!",,
"","Hakku, kinga ngaddi muu dou do me’a, b’ènyi, do pèdd’a, jad’I muu ta  ",,
"","Wie roo masker. Hakku ki b’ènyi, me’a pa d’ara masker ne we lakka d’o ke pa dou do wala.",,
"","2",,
"","Terima kasih.. *SROOOT* ",,
"","Ki ad’o ",,
"","Wue lema dou do d’o pèdd’a. ta jage ne ngi’u noo.",,
"","Dou do lakka ri corona d’e jad’i lema do d’o toi ri dii ta do lakka ke, tapulara do jad’i ta lakka pa dou do wala ne benyaki nanne. ",,
"","Do rihi petu ne, pej’èu èni dii ngati dou lowe, rowi ad’o do toi ri dii naduu ne do pèdd’a ne. ",,
"","B’ara nga’a ",,
"","Pa kereta ",,
"","Era anj’I lift ",,
"","Tisu ",,
"","Gela ",,
"","B’ara do wala he mi laptop",,
"","Lema pa tele masker ne",,
"","Pa taga ",,
"","Mouse ",,
"","Pena ",,
"","Kelae ",,
"","Kae roo ",,
"","Ta mina harre lema, ne ilu dou do pèppd’a jad’i ta keparre pa… ",,
"","Jad’i muu ta pèdd’a. ",,
"","Ki ad’o dou do peumu nga muu ",,
"","J’e g’ug’e ne ela ne ",,
"","Ki do d’o hengaja ou ta b’uje ne b’ara-b’ara naharre, d’e b’uje tanga namada ou miha, ",,
"","Nanne ke ne èhi lai do j’èma ta pehebe ne b’enyaki ne nga lonye kae ri hab’u. ",,
"","Ne benyaki nad’e nara ta muri noo hape la d’ue nguru èppa ja pa d’ida b’ara nga we. ",,
"","Hab’u ",,
"","ne ruj’ara nad’e. ",,
"","Ri naanne ke, pedute ",,
"","Lonye kae hape ma d’e ",,
"","habu ",,
"","Wohi’u ne ",,
"","B’ole b’ujje tanga namada nadu we.   Lonye d’ènge kae muu ri. ",,
"","Mi lagu “happy birthday” d’ue wari. ",,
"","Pa huu ku’u ",,
"","Helama d’ue nguru deti ",,
"","Pa hanga ruai ",,
"","Lonye ne d’anni abba ne ",,
"","Minami ne lonye kae tade mou? ",,
"","Ki b’ujje, b’ole meda’u. lonye kae ri hab’u. ",,
"","B’ole b’ujje ne tele masker ne. ",,
"","Huti ilu ",,
"","Ne b’enyaki ne mid’o jad’i ta juu ae pa d’ara masker do pake do rihi tui. ",,
"","Hore ne masker ne ki do ra’i ke. B’ole pake ne masker ne liwa ti helod’o! ",,
"","Pake kab’a huru haj’o ",,
"","Ana",,
"","Ama",,
"","Ina",,
"","Pake haddu miha-miha ",,
"","B’ole pakehela’u,b’ara nga’a nga we, b’ara nga’a we’ gela nga haddu. ",,
"","Jad’i d’o muu ta b’uje tanga namada muu ri wohi’u muu miha. ",,
"","Ki buka muu kelae, boke we ri wohi’u ki ad’o ri rui nawawi. ",,
"","Emmu",,
"","Lema ki kako la mi-mi ",,
"","Nga do d’o nga’ a de ",,
"","Henge ta lonye kae teru nga hab’u... ",,
"","Do pedaka d’e, ",,
"","Hab'u",,
"","Jage ne ngi’u muu mi j’e do d’o pad’a! ",,
"","Aj’e ne lai-lai do hure do b’uke pa d’ida ne. ",,
"",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
"",""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
"","Ne lai nad’e nara ri muu ta kale pa dou pa èmmu padd’a: ",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
"Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ","Benyaki Corona     Èhi lai we do j’èmma ta toi ri muu minami ne lakka ri benyaki  corona d’e   Ub’a  Hewangnga Ela  Maho la d’ara  Dou do ie  dou do pèdd’a  Ne benyaki nad’e jad’i ta lakka ri ilu Pej’èu èni. Lakka d’o ke muu ri ilu ki do pej’èu èni ou d’ue mete ne j’èu ne. 1 2m-0,5m Haachi!!! Hakku, kinga ngaddi muu dou do me’a, b’ènyi, do pèdd’a, jad’I muu ta   Wie roo masker. Hakku ki b’ènyi, me’a pa d’ara masker ne we lakka d’o ke pa dou do wala. 2 Terima kasih.. *SROOOT*  Ki ad’o  Wue lema dou do d’o pèdd’a. ta jage ne ngi’u noo. Dou do lakka ri corona d’e jad’i lema do d’o toi ri dii ta do lakka ke, tapulara do jad’i ta lakka pa dou do wala ne benyaki nanne.  Do rihi petu ne, pej’èu èni dii ngati dou lowe, rowi ad’o do toi ri dii naduu ne do pèdd’a ne.  B’ara nga’a  Dou do ie  Pa kereta  Era anj’I lift  Tisu  Gela  B’ara do wala he mi laptop Lema pa tele masker ne Pa taga  Mouse  Pena  Kelae  Kae roo  Ta mina harre lema, ne ilu dou do pèppd’a jad’i ta keparre pa…  Jad’i muu ta pèdd’a.  Ki ad’o dou do peumu nga muu  J’e g’ug’e ne ela ne  Ki do d’o hengaja ou ta b’uje ne b’ara-b’ara naharre, d’e b’uje tanga namada ou miha,  Nanne ke ne èhi lai do j’èma ta pehebe ne b’enyaki ne nga lonye kae ri hab’u.  Ne benyaki nad’e nara ta muri noo hape la d’ue nguru èppa ja pa d’ida b’ara nga we.  Hab’u  ne ruj’ara nad’e.  Ri naanne ke, pedute  Lonye kae hape ma d’e  habu  Wohi’u ne  B’ole b’ujje tanga namada nadu we.   Lonye d’ènge kae muu ri.  Mi lagu “happy birthday” d’ue wari.  Pa huu ku’u  Helama d’ue nguru deti  Pa hanga ruai  Lonye ne d’anni abba ne  Minami ne lonye kae tade mou?  Ki b’ujje, b’ole meda’u. lonye kae ri hab’u.  B’ole b’ujje ne tele masker ne.  Huti ilu  Ne b’enyaki ne mid’o jad’i ta juu ae pa d’ara masker do pake do rihi tui.  Hore ne masker ne ki do ra’i ke. B’ole pake ne masker ne liwa ti helod’o!  Pake kab’a huru haj’o  Ana Ama Ina Pake haddu miha-miha  B’ole pakehela’u,b’ara nga’a nga we, b’ara nga’a we’ gela nga haddu.  Jad’i d’o muu ta b’uje tanga namada muu ri wohi’u muu miha.  Ki buka muu kelae, boke we ri wohi’u ki ad’o ri rui nawawi.  Emmu Lema ki kako la mi-mi  Nga do d’o nga’ a de  Henge ta lonye kae teru nga hab’u...  Do pedaka d’e,  Hab'u Jage ne ngi’u muu mi j’e do d’o pad’a!  Jage ne ngi’u muu mi j’e do d’o pad’a!  Hab'u Aj’e ne lai-lai do hure do b’uke pa d’ida ne.  "This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) "The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020) "How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020) Ne lai nad’e nara ri muu ta kale pa dou pa èmmu padd’a:  Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com Benyaki Corona        ",,
